Total_Stops,dept_day,dept_month,dept_hour,dept_minute,arrival_day,arrival_month,arrival_hour,arrival_minute,duration_hours,duration_minutes,Route1,Route2,Route3,Route4,Route5,Air India,GoAir,IndiGo,Jet Airways,Jet Airways Business,Multiple carriers,Multiple carriers Premium economy,SpiceJet,Trujet,Vistara,Vistara Premium economy,Chennai,Delhi,Kolkata,Mumbai,Cochin,Delhi,Hyderabad,Kolkata,New Delhi,Price
0.5,1.0,0.6666666666666665,0.5217391304347826,0.36363636363636365,0.9642857142857143,0.6666666666666665,0.8260869565217391,0.2727272727272727,0.2608695652173913,1.0,0.75,0.7272727272727273,0.13793103448275862,0.38461538461538464,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5050842670181716
0.25,0.7692307692307693,0.0,1.0,0.0,0.75,0.0,0.8260869565217391,0.2727272727272727,0.8695652173913043,0.2727272727272727,0.75,0.1590909090909091,0.20689655172413793,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23472366067225306
0.25,0.3076923076923077,0.6666666666666665,0.8260869565217391,0.8181818181818181,0.3214285714285714,0.6666666666666665,0.17391304347826086,0.45454545454545453,0.34782608695652173,0.7272727272727273,0.75,0.1590909090909091,0.20689655172413793,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.49967046417474814
0.5,0.5384615384615385,1.0,0.2608695652173913,0.9090909090909091,0.5357142857142857,1.0,0.30434782608695654,0.7272727272727273,0.0,0.9090909090909091,0.75,0.20454545454545456,0.13793103448275862,0.38461538461538464,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5570096977685717
0.0,0.3076923076923077,0.0,0.34782608695652173,0.9090909090909091,0.2857142857142857,0.0,0.43478260869565216,0.2727272727272727,0.043478260869565216,0.45454545454545453,0.25,0.4318181818181818,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.18811787967234725
0.25,1.0,0.0,0.17391304347826086,0.0,0.9285714285714285,0.0,0.5652173913043478,0.36363636363636365,0.3913043478260869,0.36363636363636365,0.75,0.1590909090909091,0.20689655172413793,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21400998022785048
0.0,0.3076923076923077,0.0,0.4782608695652174,0.7272727272727273,0.2857142857142857,0.0,0.6086956521739131,0.6363636363636364,0.08695652173913043,1.0,0.0,0.29545454545454547,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.26108652669240184
0.25,0.19230769230769232,0.0,0.34782608695652173,1.0,0.17857142857142855,0.0,0.6521739130434783,0.5454545454545454,0.2608695652173913,0.6363636363636364,0.75,0.1590909090909091,0.20689655172413793,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6302608040674136
0.25,0.3076923076923077,0.6666666666666665,0.7391304347826086,0.0,0.3214285714285714,0.6666666666666665,0.3913043478260869,0.8181818181818181,0.6956521739130435,0.8181818181818181,0.5,0.3181818181818182,0.10344827586206896,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4878071744656812
0.25,0.6538461538461539,0.6666666666666665,0.6956521739130435,0.7272727272727273,0.6428571428571428,0.6666666666666665,0.0,0.2727272727272727,0.30434782608695654,0.6363636363636364,0.5,0.0,0.10344827586206896,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4155446756425949
0.0,0.3076923076923077,0.33333333333333326,0.9130434782608695,0.2727272727272727,0.3214285714285714,0.33333333333333326,0.0,0.2727272727272727,0.13043478260869565,0.0,0.0,0.29545454545454547,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.10281517747858018
0.25,0.5384615384615385,0.6666666666666665,0.7826086956521738,1.0,0.5357142857142857,0.6666666666666665,0.6956521739130435,0.36363636363636365,0.9130434782608695,0.45454545454545453,0.5,0.1590909090909091,0.10344827586206896,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42769042463044915
0.0,0.6538461538461539,0.0,0.7391304347826086,0.8181818181818181,0.6071428571428571,0.0,0.8695652173913043,0.09090909090909091,0.08695652173913043,0.36363636363636365,1.0,0.18181818181818182,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.07649938800489597
