iter	Passed	Remaining
0	113	113816
1	116	58362
2	119	39849
3	122	30551
4	128	25485
5	131	21834
6	135	19159
7	137	17063
8	140	15438
9	143	14181
10	145	13117
11	148	12223
12	151	11468
13	153	10821
14	156	10265
15	159	9794
16	162	9399
17	165	9022
18	167	8662
19	170	8338
20	172	8056
21	175	7823
22	178	7586
23	181	7361
24	183	7163
25	185	6965
26	188	6788
27	190	6630
28	193	6487
29	196	6340
30	198	6202
31	200	6066
32	202	5937
33	205	5830
34	207	5720
35	209	5618
36	211	5517
37	214	5419
38	216	5327
39	218	5239
40	220	5161
41	223	5089
42	225	5013
43	227	4938
44	229	4867
45	231	4799
46	233	4733
47	235	4675
48	238	4624
49	240	4566
50	242	4508
51	244	4451
52	246	4398
53	248	4347
54	250	4298
55	253	4269
56	255	4226
57	257	4181
58	259	4141
59	261	4101
60	263	4060
61	265	4020
62	268	3987
63	270	3951
64	272	3915
65	274	3880
66	276	3845
67	278	3813
68	280	3781
69	282	3751
70	284	3728
71	287	3705
72	289	3677
73	291	3649
74	293	3622
75	295	3596
76	297	3569
77	300	3549
78	302	3527
79	304	3504
80	306	3480
81	308	3458
82	311	3437
83	313	3417
84	316	3407
85	319	3391
86	321	3370
87	323	3349
88	325	3328
89	327	3309
90	329	3289
91	331	3274
92	335	3269
93	338	3261
94	341	3248
95	343	3231
96	345	3215
97	347	3198
98	349	3181
99	351	3165
100	353	3147
101	355	3130
102	357	3114
103	359	3098
104	361	3084
105	363	3068
106	365	3052
107	367	3038
108	369	3023
109	371	3008
110	373	2994
111	375	2979
112	378	2967
113	380	2955
114	382	2941
115	384	2928
116	386	2916
117	388	2903
118	390	2890
119	392	2879
120	394	2868
121	396	2856
122	399	2845
123	401	2836
124	406	2844
125	410	2846
126	413	2842
127	416	2837
128	419	2834
129	426	2851
130	429	2851
131	442	2911
132	445	2903
133	447	2894
134	450	2883
135	452	2872
136	454	2862
137	457	2854
138	461	2857
139	465	2857
140	467	2848
141	470	2840
142	472	2834
143	475	2829
144	478	2822
145	480	2812
146	483	2802
147	485	2793
148	487	2784
149	489	2776
150	492	2767
151	494	2759
152	496	2749
153	498	2739
154	501	2731
155	503	2723
156	505	2715
157	508	2712
158	511	2703
159	513	2694
160	515	2685
161	517	2678
162	519	2669
163	522	2663
164	524	2656
165	527	2650
166	530	2648
167	533	2641
168	536	2637
169	538	2631
170	542	2629
171	545	2627
172	549	2625
173	552	2622
174	555	2616
175	557	2610
176	559	2602
177	562	2597
178	565	2594
179	568	2591
180	571	2586
181	574	2582
182	577	2576
183	580	2572
184	584	2576
185	587	2571
186	589	2565
187	592	2559
188	595	2554
189	598	2550
190	600	2544
191	603	2539
192	605	2532
193	607	2525
194	610	2518
195	613	2514
196	615	2510
197	618	2503
198	620	2498
199	623	2493
200	625	2487
201	629	2488
202	632	2483
203	635	2480
204	646	2505
205	649	2503
206	653	2504
207	657	2502
208	660	2499
209	663	2497
210	666	2492
211	669	2488
212	672	2486
213	676	2486
214	680	2485
215	683	2481
216	685	2475
217	688	2469
218	690	2463
219	694	2461
220	696	2456
221	700	2453
222	704	2453
223	707	2450
224	710	2447
225	713	2445
226	717	2443
227	720	2440
228	723	2437
229	727	2434
230	729	2429
231	735	2434
232	739	2433
233	744	2436
234	747	2432
235	749	2427
236	752	2422
237	757	2423
238	759	2418
239	762	2414
240	765	2410
241	767	2405
242	771	2402
243	773	2397
244	776	2392
245	778	2387
246	783	2387
247	786	2383
248	788	2379
249	792	2376
250	794	2372
251	798	2370
252	801	2367
253	804	2364
254	807	2358
255	809	2353
256	812	2348
257	814	2342
258	817	2339
259	820	2334
260	822	2329
261	825	2325
262	828	2321
263	830	2315
264	833	2310
265	835	2306
266	837	2300
267	839	2294
268	842	2288
269	844	2283
270	846	2277
271	849	2273
272	851	2268
273	854	2262
274	856	2258
275	859	2253
276	861	2247
277	863	2241
278	865	2237
279	867	2231
280	869	2225
281	872	2220
282	874	2214
283	876	2208
284	878	2202
285	880	2198
286	882	2192
287	884	2186
288	886	2180
289	888	2175
290	890	2169
291	892	2163
292	894	2158
293	896	2154
294	899	2149
295	901	2144
296	903	2139
297	906	2134
298	908	2130
299	911	2126
300	913	2121
301	916	2117
302	918	2112
303	920	2107
304	923	2104
305	926	2101
306	929	2097
307	931	2092
308	933	2087
309	936	2083
310	938	2079
311	940	2074
312	943	2070
313	945	2065
314	947	2060
315	949	2056
316	952	2051
317	953	2045
318	955	2040
319	957	2035
320	960	2030
321	961	2025
322	963	2020
323	966	2015
324	968	2010
325	970	2005
326	972	2000
