iter	Passed	Remaining
0	128	128017
1	129	64711
2	130	43487
3	132	32870
4	133	26535
5	135	22365
6	136	19333
7	137	17049
8	138	15276
9	140	13861
10	141	12692
11	142	11718
12	143	10895
13	144	10186
14	145	9572
15	146	9034
16	148	8561
17	149	8151
18	150	7778
19	151	7439
20	153	7134
21	154	6857
22	155	6599
23	156	6366
24	157	6147
25	158	5947
26	159	5762
27	161	5592
28	162	5431
29	163	5281
30	164	5143
31	165	5013
32	166	4891
33	168	4774
34	169	4664
35	170	4559
36	171	4463
37	172	4370
38	173	4281
39	174	4196
40	175	4115
41	177	4039
42	178	3968
43	179	3900
44	181	3843
45	182	3789
46	184	3731
47	185	3674
48	186	3620
49	187	3567
50	188	3515
51	190	3465
52	191	3416
53	192	3369
54	193	3323
55	194	3279
56	195	3241
57	197	3205
58	198	3171
59	200	3133
60	201	3096
61	202	3061
62	203	3026
63	204	2992
64	205	2959
65	206	2927
66	208	2896
67	209	2866
68	210	2838
69	211	2808
70	212	2783
71	213	2756
72	214	2728
73	216	2704
74	217	2679
75	218	2658
76	219	2635
77	221	2613
78	222	2590
79	223	2569
80	224	2548
81	225	2527
82	227	2508
83	228	2490
84	229	2473
85	230	2454
86	232	2436
87	233	2418
88	234	2402
89	235	2385
90	237	2370
91	238	2357
92	240	2342
93	241	2327
94	242	2314
95	244	2299
96	245	2286
97	246	2271
98	248	2257
99	249	2243
100	250	2229
101	251	2216
102	253	2204
103	254	2191
104	255	2177
105	256	2164
106	257	2150
107	258	2137
108	260	2131
109	262	2120
110	263	2108
111	264	2097
112	266	2089
113	267	2078
114	268	2066
115	269	2055
116	270	2044
117	272	2033
118	273	2022
119	274	2011
120	275	2002
121	276	1992
122	277	1981
123	279	1972
124	280	1964
125	281	1955
126	283	1946
127	284	1936
128	285	1927
129	286	1918
130	287	1909
131	288	1899
132	289	1890
133	291	1882
134	292	1875
135	293	1866
136	295	1858
137	296	1851
138	297	1843
139	298	1835
140	299	1827
141	301	1818
142	302	1811
143	303	1803
144	304	1795
145	305	1787
146	306	1781
147	308	1774
148	309	1768
149	310	1761
150	312	1756
151	313	1750
152	314	1743
153	316	1737
154	317	1731
155	318	1725
156	320	1719
157	321	1713
158	322	1707
159	324	1704
160	325	1698
161	327	1692
162	328	1685
163	329	1680
164	331	1676
165	332	1670
166	334	1670
167	336	1664
168	337	1659
169	338	1653
